installation,branch,state,joint_base,latitude,longitude,url
Whiteman AFB,Air Force,MO,,+38.7331160,-93.5531578,https://installations.militaryonesource.mil/military-installation/whiteman-afb/child-and-youth-services/child-and-youth-programs
Columbus AFB,Air Force,MS,,+33.6413100,-88.4510932,https://installations.militaryonesource.mil/military-installation/columbus-afb/child-and-youth-services/child-and-youth-programs
Keesler AFB,Air Force,MS,,+30.4077351,-88.9246855,https://installations.militaryonesource.mil/military-installation/keesler-afb/child-and-youth-services/child-and-youth-programs
Naval Air Station Meridian,Navy,MS,,+32.5465879,-88.5718868,https://installations.militaryonesource.mil/military-installation/naval-air-station-meridian/child-and-youth-services/child-and-youth-programs
Naval Construction Battalion Center Gulfport,Navy,MS,,+30.3794012,-89.1250864,https://installations.militaryonesource.mil/military-installation/naval-construction-battalion-center-gulfport/child-and-youth-services/child-and-youth-programs
Malmstrom Air Force Base,Air Force,MT,,+47.5058481,-111.1825145,https://installations.militaryonesource.mil/military-installation/malmstrom-air-force-base/child-and-youth-services/child-and-youth-programs
Camp Lejeune,Marine Corps,NC,,+34.6403236,-77.3944078,https://installations.militaryonesource.mil/military-installation/camp-lejeune/child-and-youth-services/child-and-youth-programs
Fort Liberty,Army,NC,,+35.1377274,-79.1448097,https://installations.militaryonesource.mil/military-installation/fort-liberty/child-and-youth-services/child-and-youth-programs
Marine Corps Air Station Cherry Point,Marine Corps,NC,,+34.9168573,-76.8903866,https://installations.militaryonesource.mil/military-installation/marine-corps-air-station-cherry-point/child-and-youth-services/child-and-youth-programs
Pope Army Airfield,Army,NC,,+35.1715489,-79.0170867,https://installations.militaryonesource.mil/military-installation/pope-army-airfield/child-and-youth-services/child-and-youth-programs
Seymour Johnson AFB,Air Force,NC,,+35.3479164,-77.9625752,https://installations.militaryonesource.mil/military-installation/seymour-johnson-afb/child-and-youth-services/child-and-youth-programs
Grand Forks AFB,Air Force,ND,,+47.9556796,-97.3912796,https://installations.militaryonesource.mil/military-installation/grand-forks-afb/child-and-youth-services/child-and-youth-programs
Minot AFB,Air Force,ND,,+48.4190017,-101.3365027,https://installations.militaryonesource.mil/military-installation/minot-afb/child-and-youth-services/child-and-youth-programs
Offutt AFB,Air Force,NE,,+41.1178814,-95.9065457,https://installations.militaryonesource.mil/military-installation/offutt-afb/child-and-youth-services/child-and-youth-programs
Fort Dix,"Air Force, Army, Navy",NJ,Joint Base McGuire-Dix-Lakehurst,+39.9984860,-74.5299002,https://installations.militaryonesource.mil/military-installation/fort-dix/child-and-youth-services/child-and-youth-programs
McGuire AFB,"Air Force, Army, Navy",NJ,Joint Base McGuire-Dix-Lakehurst,+40.0298495,-74.5796889,https://installations.militaryonesource.mil/military-installation/mcguire-afb/child-and-youth-services/child-and-youth-programs
